Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           Fiducial_mark           190mm         230mm         190mm         230mm         190mm         230mm  T          0.00                
           Fiducial_mark           190mm          15mm         190mm          15mm         190mm          15mm  T          0.00                
           Fiducial_mark            -5mm          15mm          -5mm          15mm          -5mm          15mm  T          0.00                
R6         0603_[1608]           146.5mm    185.1998mm       146.5mm       185.2mm       146.5mm    185.8998mm  B        270.00 0R             
R5         0603_[1608]        161.6002mm       228.6mm       161.6mm       228.6mm    160.9002mm       228.6mm  B        360.00 220K 1%        
R4         0603_[1608]        161.5999mm       231.2mm       161.6mm       231.2mm    162.2998mm       231.2mm  B        180.00 820K 1%        
R3         0603_[1608]        161.6002mm       229.9mm       161.6mm       229.9mm    160.9002mm       229.9mm  B        360.00 390K 1%        
R2         0603_[1608]           161.9mm    224.1998mm       161.9mm       224.2mm       161.9mm    224.8998mm  B        270.00 10R 1%         
L1         WE-TPC-6823-X         170.2mm       224.5mm       170.2mm       224.5mm       170.2mm     221.325mm  B         90.00 22uH WE 744062220
C8         0603_[1608]        161.5999mm       227.3mm       161.6mm       227.3mm    162.2998mm       227.3mm  B        180.00 100nF          
C7         0603_[1608]        153.1002mm       218.5mm       153.1mm       218.5mm    152.4002mm       218.5mm  B        360.00 100nF          
C6         0603_[1608]           163.4mm    221.2002mm       163.4mm       221.2mm       163.4mm    220.5001mm  B         90.00 100nF          
C5         1210_[3225]           161.2mm       220.4mm       161.2mm       220.4mm       161.2mm      219.05mm  B         90.00 2.2uF          
C4         0603_[1608]        164.9002mm       228.6mm       164.9mm       228.6mm    164.2002mm       228.6mm  B        360.00 1uF            
C3         0603_[1608]        164.9002mm       227.3mm       164.9mm       227.3mm    164.2002mm       227.3mm  B        360.00 100nF          
J4         fcc-zif_40pin_0.5mm     148.245mm         209mm       148.5mm         209mm      149.49mm    199.2499mm  B         90.00 Display LCD 4.3''
J1         SOCKET_2x26_2.54MM_SMD    142.9898mm    152.9401mm    142.9898mm    152.9401mm    174.7398mm    150.3401mm  B        180.00 EVA01 - TOP    
J2         SOCKET_2x26_2.54MM_SMD      178.56mm    193.5802mm      178.56mm    193.5802mm      175.96mm    161.8302mm  B         90.00 EVA01 - LEFT   
