Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

2          Develer_logo_15x6mm   -268.2008mm   -163.6408mm         9.7mm        26.9mm   -268.2008mm   -163.6408mm  T        360.00                
C35        0603_[1608]         58.9998mm        29.4mm          59mm        29.4mm     59.6998mm        29.4mm  B        180.00 100nF          
C36        0603_[1608]            56.6mm     38.9998mm        56.6mm          39mm        56.6mm     39.6998mm  B        270.00 100nF          
C37        0603_[1608]            72.4mm     37.1998mm        72.4mm        37.2mm        72.4mm     37.8998mm  B        270.00 100nF          
C38        0603_[1608]            72.3mm     30.2002mm        72.3mm        30.2mm        72.3mm     29.5002mm  B         90.00 100nF          
C39        0603_[1608]         49.0502mm     20.7002mm       49.05mm     20.7002mm     48.3502mm     20.7002mm  B        360.00 100nF          
C40        1206_[3216]            48.3mm        22.4mm        48.3mm        22.4mm       46.95mm        22.4mm  B        360.00 10uF           
C41        0805_[2012]            44.6mm        22.4mm        44.6mm        22.4mm        45.4mm        22.4mm  B        180.00 4.7uF          
C42        1206_[3216]           48.25mm     17.7002mm       48.25mm     17.7002mm        46.9mm     17.7002mm  B        360.00 1uF            
C43        0603_[1608]         49.0502mm     19.4002mm       49.05mm     19.4002mm     48.3502mm     19.4002mm  B        360.00 100nF          
C1         1206_[3216]           51.35mm     45.9747mm       51.35mm     45.9747mm       51.35mm     44.6247mm  B         90.00 10uF           
C2         0603_[1608]            53.1mm        45.2mm        53.1mm     45.1998mm        53.1mm        44.5mm  B         90.00 100nF          
C4         CAP_6X6_D8_SMD      13.1998mm      11.725mm     13.1998mm      11.725mm     10.7998mm      11.725mm  T        270.00 100uF          
C3         0603_[1608]         13.2002mm           8mm        13.2mm           8mm     12.5002mm           8mm  B        360.00 100nF          
C6         0603_[1608]            20.7mm     13.9002mm        20.7mm        13.9mm        20.7mm     13.2002mm  T         90.00 100nF          
C26        1206_[3216]           31.85mm      101.95mm       31.85mm      101.95mm        33.2mm      101.95mm  T        180.00 10uF           
C27        0603_[1608]            39.2mm    100.1998mm        39.2mm       100.2mm        39.2mm    100.8998mm  T        270.00 100nF          
C28        0603_[1608]         43.4002mm       106.2mm        43.4mm       106.2mm     42.7002mm       106.2mm  B        360.00 100nF          
C29        1206_[3216]            31.9mm      104.65mm        31.9mm      104.65mm       33.25mm      104.65mm  T        180.00 10uF           
C30        0603_[1608]            39.2mm    105.5998mm        39.2mm       105.6mm        39.2mm    106.2998mm  T        270.00 100nF          
C31        0603_[1608]         32.6002mm       100.2mm        32.6mm       100.2mm     31.9002mm       100.2mm  T        360.00 100nF          
C32        0603_[1608]         32.6002mm       106.4mm        32.6mm       106.4mm     31.9002mm       106.4mm  T        360.00 100nF          
J12        USB_TYPEA_DOUBLE_THD       37.85mm    111.8799mm       37.85mm    111.8799mm     41.3499mm    109.3898mm  T        180.00 USB Type A Dual
D2         DO214AA_12             14.1mm        19.7mm        14.1mm        19.7mm     11.7505mm        19.7mm  B        360.00 SMBJ28A        
D3         0603_[1608]_LED        66.5mm    116.9998mm        66.5mm         117mm        66.5mm    117.6998mm  T        270.00 +24V           
D4         0603_[1608]_LED          69mm    116.9998mm          69mm         117mm          69mm    117.6998mm  T        270.00 +5V            
D5         0603_[1608]_LED       71.25mm    116.9998mm       71.25mm         117mm       71.25mm    117.6998mm  T        270.00 +3.3V          
J3         DC_JACK_6.5X2.5MM_RIGHT_THT        26.1mm      6.7001mm        26.1mm      6.7001mm        23.7mm         9.6mm  T        270.00 +24V Input     
J15        SMA_JACK_FEMALE_5.08MM_THD        71.1mm           5mm        71.1mm           5mm        71.1mm           5mm  T        360.00 NP (ANT_WLAN_2)
J2         TBLOCK_1X2_3.5MM_HOR_THD        13.2mm         5.9mm        13.2mm         5.9mm       11.45mm         5.9mm  T        360.00 +24V Input     
L1         0805_[2012]            49.4mm        45.4mm        49.4mm        45.4mm        49.4mm        46.2mm  B        270.00 220 ohm @ 100MHz
L2         0805_[2012]            17.4mm         6.7mm        17.4mm         6.7mm        17.4mm         5.9mm  B         90.00 220 ohm @ 100MHz
L3         0805_[2012]             9.1mm         6.7mm         9.1mm         6.7mm         9.1mm         5.9mm  B         90.00 220 ohm @ 100MHz
L8         0805_[2012]            37.7mm     99.9998mm        37.7mm     99.9998mm        37.7mm    100.7998mm  T        270.00 220 ohm @ 100MHz
L9         0805_[2012]            37.7mm       105.4mm        37.7mm       105.4mm        37.7mm       106.2mm  T        270.00 220 ohm @ 100MHz
L10        WE-CNSW_1206           29.3mm      101.95mm        29.3mm      101.95mm       27.95mm      101.45mm  B        360.00 Line filter (WE 744232090)
L11        WE-CNSW_1206           29.3mm      104.65mm        29.3mm      104.65mm       27.95mm      104.15mm  B        360.00 Line filter (WE 744232090)
R87        0603_[1608]            44.7mm        14.5mm     44.6998mm        14.5mm          44mm        14.5mm  B        360.00 0R             
R89        0603_[1608]         68.2998mm        16.9mm        68.3mm        16.9mm     68.9998mm        16.9mm  T        180.00 NP             
R90        0603_[1608]         68.2998mm        20.8mm        68.3mm        20.8mm     68.9998mm        20.8mm  T        180.00 NP             
R91        0603_[1608]         68.2998mm        19.5mm        68.3mm        19.5mm     68.9998mm        19.5mm  T        180.00 NP             
R92        0603_[1608]         68.2998mm        18.2mm        68.3mm        18.2mm     68.9998mm        18.2mm  T        180.00 NP             
R93        0603_[1608]         68.2998mm        15.6mm        68.3mm        15.6mm     68.9998mm        15.6mm  T        180.00 NP             
R94        0603_[1608]         44.7002mm        15.8mm        44.7mm        15.8mm     44.0002mm        15.8mm  B        360.00 NP             
R14        0603_[1608]         78.5998mm       109.8mm        78.6mm       109.8mm     79.2998mm       109.8mm  B        180.00 10K            
R15        0603_[1608]         78.5998mm       111.1mm        78.6mm       111.1mm     79.2998mm       111.1mm  B        180.00 10K            
R16        0603_[1608]         78.5998mm       108.5mm        78.6mm       108.5mm     79.2998mm       108.5mm  B        180.00 680R           
R17        0603_[1608]         78.5998mm       107.2mm        78.6mm       107.2mm     79.2998mm       107.2mm  B        180.00 180R           
U3         TO-252_D2PAK_LARGEPAD        37.8mm     53.1125mm        37.8mm     53.5875mm        35.5mm      59.025mm  B        270.00 LD29150DT33R   
U4         QFN-32                 54.2mm       105.3mm        54.2mm       105.3mm       51.85mm      103.55mm  B        360.00 FT232RQ        
U8         TSOP65P640X120-20L      54.175mm      32.975mm      54.175mm      32.975mm        57.1mm        30.2mm  B         90.00 TXB0108PW      
U9         WL18XX_E-13.4X13.3-N100_0.75       58.95mm       19.95mm       58.95mm       19.95mm      64.925mm      25.975mm  B        270.00 WL1831MOD      
U10        SOT-23-5              47.55mm       25.65mm       47.55mm       25.65mm        46.1mm        24.7mm  B         90.00 FPF2124        
U12        CRYSTAL_3.2X1.5MM_4P_SMD       48.25mm     15.2002mm       48.25mm     15.2002mm      46.925mm     15.8002mm  B        360.00 32.768kHz Oscillator
U1         PROJECT42_FOOTPRINT_SOCKET          42mm       51.42mm          42mm       51.42mm        60.6mm       35.02mm  T        270.00 DevelBoard     
U5         SOIC8                  42.5mm       102.9mm        42.5mm       102.9mm      40.595mm      100.45mm  T         90.00 SP2526A-1EN-L  
U6         SOT-563                33.2mm      101.95mm        33.2mm      101.95mm        32.5mm      101.45mm  B         90.00 TVS Array (WE 82400152)
U7         SOT-563                33.2mm      104.65mm        33.2mm      104.65mm        32.5mm      104.15mm  B         90.00 TVS Array (WE 82400152)
R70        0603_[1608]              44mm     27.4998mm          44mm        27.5mm          44mm     28.1998mm  B        270.00 10K            
R72        0603_[1608]            69.1mm     42.6002mm        69.1mm        42.6mm        69.1mm     41.9002mm  B         90.00 10K            
R73        0603_[1608]            65.8mm        42.2mm        65.8mm     42.1998mm        65.8mm        41.5mm  B         90.00 10K            
R74        0603_[1608]            64.1mm     41.3002mm        64.1mm        41.3mm        64.1mm     40.6002mm  B         90.00 10K            
R75        0603_[1608]            67.4mm     43.0002mm        67.4mm          43mm        67.4mm     42.3002mm  B         90.00 10K            
R76        0603_[1608]            70.9mm     43.0002mm        70.9mm          43mm        70.9mm     42.3002mm  B         90.00 10K            
R79        0603_[1608]            70.9mm     45.6003mm        70.9mm     45.6002mm        70.9mm     44.9003mm  B         90.00 22R            
R80        0603_[1608]            69.1mm     45.2002mm        69.1mm        45.2mm        69.1mm     44.5002mm  B         90.00 22R            
R81        0603_[1608]            67.4mm     45.6002mm        67.4mm        45.6mm        67.4mm     44.9002mm  B         90.00 22R            
R82        0603_[1608]            65.8mm        44.8mm        65.8mm     44.7998mm        65.8mm        44.1mm  B         90.00 22R            
R83        0603_[1608]            64.1mm     43.9002mm        64.1mm        43.9mm        64.1mm     43.2002mm  B         90.00 22R            
R84        0603_[1608]         60.1998mm        34.1mm        60.2mm        34.1mm     60.8998mm        34.1mm  B        180.00 22R            
R85        0603_[1608]            62.7mm     42.2002mm        62.7mm        42.2mm        62.7mm     41.5002mm  B         90.00 22R            
R86        0603_[1608]         60.1998mm        36.7mm        60.2mm        36.7mm     60.8998mm        36.7mm  B        180.00 22R            
L6         0805_[2012]              58mm       108.6mm          58mm       108.6mm          58mm       107.8mm  T         90.00 220 ohm @ 100MHz
L14        0603_[1608]         48.7999mm    111.5497mm     48.7999mm    111.5498mm     48.7999mm    112.2497mm  T        270.00 180R @ 100Mhz  
C14        0603_[1608]            33.7mm     62.4998mm        33.7mm        62.5mm        33.7mm     63.1998mm  B        270.00 100nF          
C15        0603_[1608]            41.9mm     62.4998mm        41.9mm        62.5mm        41.9mm     63.1998mm  B        270.00 100nF          
C18        0603_[1608]         60.2002mm       107.8mm        60.2mm       107.8mm     59.5002mm       107.8mm  T        360.00 100nF          
C19        0603_[1608]            51.6mm    100.2998mm        51.6mm       100.3mm        51.6mm    100.9998mm  T        270.00 100nF          
C23        0603_[1608]            49.4mm    100.2998mm        49.4mm       100.3mm        49.4mm    100.9998mm  T        270.00 100nF          
C24        1206_[3216]            77.2mm         101mm        77.2mm         101mm        77.2mm      102.35mm  B        270.00 10uF           
